OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2026-04-06,8,0,2026-04-06T14:00:00-00:00,2026-04-06T15:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,629.92,DAM,5
2026-04-06,15,0,2026-04-06T21:00:00-00:00,2026-04-06T22:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,3021.24,DAM,5
2026-04-06,4,0,2026-04-06T10:00:00-00:00,2026-04-06T11:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
2026-04-06,14,0,2026-04-06T20:00:00-00:00,2026-04-06T21:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,3037.93,DAM,5
2026-04-06,7,0,2026-04-06T13:00:00-00:00,2026-04-06T14:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,10.59,DAM,5
2026-04-06,13,0,2026-04-06T19:00:00-00:00,2026-04-06T20:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,3029.25,DAM,5
2026-04-06,12,0,2026-04-06T18:00:00-00:00,2026-04-06T19:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,2980.86,DAM,5
2026-04-06,23,0,2026-04-07T05:00:00-00:00,2026-04-07T06:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,53.93,DAM,6
2026-04-06,22,0,2026-04-07T04:00:00-00:00,2026-04-07T05:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,57.08,DAM,6
2026-04-06,21,0,2026-04-07T03:00:00-00:00,2026-04-07T04:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,58.85,DAM,6
