INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2026-04-06T11:00:00-00:00,2026-04-06T12:00:00-00:00,1,2026-04-06,5,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1391.87,DAM,4
2026-04-06T12:00:00-00:00,2026-04-06T13:00:00-00:00,1,2026-04-06,6,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1463.69,DAM,4
2026-04-06T14:00:00-00:00,2026-04-06T15:00:00-00:00,1,2026-04-06,8,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1662.13,DAM,4
2026-04-06T11:00:00-00:00,2026-04-06T12:00:00-00:00,1,2026-04-06,5,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,208.95,DAM,5
2026-04-07T04:00:00-00:00,2026-04-07T05:00:00-00:00,1,2026-04-06,22,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,294.08,DAM,5
2026-04-06T20:00:00-00:00,2026-04-06T21:00:00-00:00,1,2026-04-06,14,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,263.38,DAM,5
2026-04-07T03:00:00-00:00,2026-04-07T04:00:00-00:00,1,2026-04-06,21,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,313.72,DAM,5
2026-04-06T22:00:00-00:00,2026-04-06T23:00:00-00:00,1,2026-04-06,16,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,283.32,DAM,5
2026-04-06T10:00:00-00:00,2026-04-06T11:00:00-00:00,1,2026-04-06,4,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,205.11,DAM,5
2026-04-06T12:00:00-00:00,2026-04-06T13:00:00-00:00,1,2026-04-06,6,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,213.86,DAM,5
2026-04-06T16:00:00-00:00,2026-04-06T17:00:00-00:00,1,2026-04-06,10,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,252.56,DAM,5
2026-04-06T18:00:00-00:00,2026-04-06T19:00:00-00:00,1,2026-04-06,12,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,253.89,DAM,5
2026-04-06T19:00:00-00:00,2026-04-06T20:00:00-00:00,1,2026-04-06,13,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,257.93,DAM,5
2026-04-07T05:00:00-00:00,2026-04-07T06:00:00-00:00,1,2026-04-06,23,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,270.46,DAM,5
2026-04-06T23:00:00-00:00,2026-04-07T00:00:00-00:00,1,2026-04-06,17,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,296.03,DAM,5
2026-04-07T01:00:00-00:00,2026-04-07T02:00:00-00:00,1,2026-04-06,19,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,314.2,DAM,5
